iter	Passed	Remaining
0	24	24449
1	33	16641
2	42	14142
3	52	13004
4	61	12319
5	71	11797
6	80	11365
7	89	11048
8	98	10900
9	109	10888
10	120	10877
11	132	10888
12	143	10903
13	155	10932
14	166	10919
15	177	10923
16	189	10949
17	201	10970
18	213	11028
19	226	11095
20	238	11126
21	250	11147
22	263	11189
23	276	11246
24	288	11238
25	299	11233
26	311	11218
27	321	11176
28	332	11132
29	342	11089
30	353	11060
31	364	11026
32	376	11032
33	388	11032
34	401	11058
35	414	11089
36	427	11114
37	439	11126
38	452	11153
39	465	11174
40	477	11174
41	489	11161
42	500	11142
43	513	11158
44	526	11177
45	540	11203
46	553	11226
47	565	11212
48	576	11193
49	587	11155
50	597	11110
51	607	11072
52	618	11045
53	628	11011
54	639	10985
55	651	10980
56	663	10975
57	676	10979
58	688	10978
59	699	10955
60	710	10937
61	721	10917
62	732	10895
63	744	10881
64	755	10871
65	766	10847
66	778	10839
67	790	10831
68	802	10832
69	814	10823
70	826	10817
71	838	10808
72	850	10797
73	862	10787
74	872	10765
75	884	10758
76	896	10749
77	908	10744
78	920	10736
79	932	10724
80	943	10701
81	954	10684
82	965	10669
83	976	10648
84	988	10636
85	1000	10631
86	1011	10614
87	1022	10593
88	1033	10579
89	1045	10573
90	1058	10572
91	1071	10572
92	1083	10567
93	1096	10568
94	1110	10575
95	1123	10578
96	1135	10574
97	1147	10561
98	1160	10557
99	1172	10550
100	1183	10538
101	1195	10526
102	1207	10512
103	1218	10498
104	1231	10495
105	1242	10481
106	1255	10477
107	1267	10471
108	1280	10467
109	1291	10452
110	1302	10434
111	1313	10411
112	1322	10383
113	1332	10358
114	1342	10329
115	1352	10309
116	1362	10285
117	1374	10271
118	1385	10261
119	1399	10263
120	1413	10269
121	1426	10267
122	1438	10257
123	1449	10236
124	1459	10216
125	1470	10197
126	1480	10177
127	1491	10159
128	1501	10139
129	1512	10122
130	1523	10107
131	1535	10095
132	1546	10079
133	1558	10071
134	1570	10060
135	1581	10045
136	1592	10028
137	1602	10010
138	1614	10001
139	1626	9992
140	1637	9977
141	1647	9956
142	1658	9939
143	1669	9927
144	1681	9914
145	1692	9900
146	1704	9892
147	1717	9886
148	1730	9882
149	1743	9882
150	1757	9879
151	1770	9876
152	1783	9875
153	1797	9872
154	1809	9865
155	1821	9854
156	1833	9842
157	1844	9830
158	1856	9819
159	1867	9804
160	1878	9791
161	1891	9782
162	1903	9775
163	1914	9760
164	1925	9744
165	1936	9730
166	1948	9717
167	1959	9704
168	1971	9696
169	1984	9687
170	1995	9672
171	2006	9657
172	2016	9638
173	2026	9620
174	2036	9602
175	2048	9589
176	2059	9577
177	2064	9535
178	2075	9521
179	2087	9511
180	2099	9500
181	2111	9488
182	2122	9477
183	2134	9467
184	2146	9458
185	2158	9446
186	2171	9439
187	2183	9430
188	2195	9421
189	2205	9403
190	2216	9389
191	2227	9373
192	2238	9360
193	2250	9352
194	2262	9339
195	2274	9328
196	2285	9314
197	2296	9301
198	2306	9285
199	2317	9268
200	2326	9250
201	2338	9238
202	2351	9231
203	2364	9224
204	2377	9218
205	2389	9208
206	2400	9197
207	2411	9182
208	2422	9167
209	2433	9155
210	2444	9139
211	2454	9125
212	2466	9112
213	2479	9105
214	2490	9093
